...1,id,x_c,y_c,bpl,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER
1,1,-99.810791015625,41.5271377563477,31,01779792,0400000US31,31,NE,Nebraska,00,198972429772,1356294775
2,2,-120.44686126709,47.3809585571289,53,01779804,0400000US53,53,WA,Washington,00,172121026344,12540093192
3,3,-106.108367919922,34.4213676452637,35,00897535,0400000US35,35,NM,New Mexico,00,314161426332,755674004
4,4,-100.230506896973,44.4361572265625,46,01785534,0400000US46,46,SD,South Dakota,00,196349394266,3379810671
5,5,-85.2904586791992,37.5266647338867,21,01779786,0400000US21,21,KY,Kentucky,00,102266253024,2389483091
6,6,-83.4463272094727,32.6492195129395,13,01705317,0400000US13,13,GA,Georgia,00,149169759045,4740824950
7,7,-92.4392547607422,34.8997383117676,5,00068085,0400000US05,05,AR,Arkansas,00,134769279101,2962525273
8,8,-77.7995529174805,40.8738250732422,42,01779798,0400000US42,42,PA,Pennsylvania,00,115883499352,3396643587
9,9,-89.6652069091797,32.7508583068848,28,01779790,0400000US28,28,MS,Mississippi,00,121531969224,3928386321
10,10,-105.547805786133,38.9985427856445,8,01779779,0400000US08,08,CO,Colorado,00,268428431772,1175462574
11,11,-111.678207397461,39.3237915039062,49,01455989,0400000US49,49,UT,Utah,00,212885012434,6999936465
12,12,-86.3433837890625,35.8429794311523,47,01325873,0400000US47,47,TN,Tennessee,00,106800181941,2352826875
13,13,-107.551445007324,42.9996337890625,56,01779807,0400000US56,56,WY,Wyoming,00,251465042238,1861255811
14,14,-86.2756500244141,39.9081420898438,18,00448508,0400000US18,18,IN,Indiana,00,92790537698,1535887357
15,15,-152.220977783203,64.2174758911133,2,01785533,0400000US02,02,AK,Alaska,00,1477946338495,245391672906
16,16,-116.655220031738,39.3562278747559,32,01779793,0400000US32,32,NV,Nevada,00,284332114099,2047841189
17,17,-89.1983871459961,40.0650329589844,17,01779784,0400000US17,17,IL,Illinois,00,143794894211,6200606440
18,18,-72.6626586914062,44.0751876831055,50,01779802,0400000US50,50,VT,Vermont,00,23872224593,1034382802
19,19,-109.645118713379,47.0335273742676,30,00767982,0400000US30,30,MT,Montana,00,376964776680,3868193267
20,20,-93.5000610351562,42.0746192932129,19,01779785,0400000US19,19,IA,Iowa,00,144667481633,1077969087
21,21,-80.896110534668,33.9079513549805,45,01779799,0400000US45,45,SC,South Carolina,00,77858297564,5074366056
22,22,-111.664405822754,34.2931022644043,4,01779777,0400000US04,04,AZ,Arizona,00,294204474990,1027559124
23,23,-170.369689941406,-14.2201480865479,60,01802701,0400000US60,60,AS,American Samoa,00,197749662,1307107436
24,24,-82.7901077270508,40.2917556762695,39,01085497,0400000US39,39,OH,Ohio,00,105831379985,10266305761
25,25,-86.828369140625,32.7898254394531,1,01779775,0400000US01,01,AL,Alabama,00,131173369432,4593984687
26,26,-90.0116958618164,44.6380233764648,55,01779806,0400000US55,55,WI,Wisconsin,00,140269484183,29365442607
27,27,-120.555404663086,43.9366455078125,41,01155107,0400000US41,41,OR,Oregon,00,248608778890,6190771822
28,28,-92.4773941040039,38.367603302002,29,01779791,0400000US29,29,MO,Missouri,00,178052626882,2487589369
29,29,-79.3723678588867,35.5415306091309,37,01027616,0400000US37,37,NC,North Carolina,00,125918092834,13472548815
30,30,-97.5082855224609,35.5834808349609,40,01102857,0400000US40,40,OK,Oklahoma,00,177663043025,3374050771
31,31,-78.812255859375,37.5150184631348,51,01779803,0400000US51,51,VA,Virginia,00,102282988386,8503553482
32,32,-80.6137084960938,38.6425933837891,54,01779805,0400000US54,54,WV,West Virginia,00,62266577599,489469489
33,33,-91.9856414794922,31.0583896636963,22,01629543,0400000US22,22,LA,Louisiana,00,111903220951,23747902252
34,34,-85.4371490478516,44.3506698608398,26,01779789,0400000US26,26,MI,Michigan,00,146455475554,104031185771
