"","year","bpl","dropage"
"1",1980,1,16
"2",2010,1,17
"3",1980,4,14
"4",2010,4,16
"5",1980,5,14
"6",2010,5,18
"7",1980,6,16
"8",2010,6,18
"9",1980,8,16
"10",2010,8,17
"11",1980,9,16
"12",2010,9,18
"13",1980,10,16
"14",2010,10,16
"15",1980,11,14
"16",2010,11,18
"17",1980,12,16
"18",2010,12,16
"19",1980,13,16
"20",2010,13,16
"21",1980,16,16
"22",2010,16,16
"23",1980,17,16
"24",2010,17,17
"25",1980,18,16
"26",2010,18,18
"27",1980,19,14
"28",2010,19,16
"29",1980,20,16
"30",2010,20,18
"31",1980,21,17
"32",2010,21,18
"33",1980,22,16
"34",2010,22,18
"35",1980,23,17
"36",2010,23,17
"37",1980,24,16
"38",2010,24,16
"39",1980,25,16
"40",2010,25,16
"41",1980,26,16
"42",2010,26,18
"43",1980,27,16
"44",2010,27,16
"45",1980,28,NA
"46",2010,28,17
"47",1980,29,16
"48",2010,29,17
"49",1980,30,14
"50",2010,30,14
"51",1980,31,14
"52",2010,31,18
"53",1980,32,17
"54",2010,32,18
"55",1980,33,16
"56",2010,33,18
"57",1980,34,16
"58",2010,34,16
"59",1980,35,16
"60",2010,35,18
"61",1980,36,16
"62",2010,36,16
"63",1980,37,16
"64",2010,37,16
"65",1980,38,16
"66",2010,38,16
"67",1980,39,18
"68",2010,39,18
"69",1980,40,18
"70",2010,40,18
"71",1980,41,18
"72",2010,41,18
"73",1980,42,17
"74",2010,42,17
"75",1980,44,16
"76",2010,44,16
"77",1980,45,17
"78",2010,45,17
"79",1980,46,16
"80",2010,46,18
"81",1980,47,17
"82",2010,47,17
"83",1980,48,17
"84",2010,48,18
"85",1980,49,18
"86",2010,49,18
"87",1980,50,16
"88",2010,50,16
"89",1980,51,17
"90",2010,51,18
"91",1980,53,15
"92",2010,53,18
"93",1980,54,16
"94",2010,54,16
"95",1980,55,18
"96",2010,55,18
"97",1980,56,14
"98",2010,56,16
